product_id,num__log_discounted_price,num__log_actual_price,num__discount_percentage,num__log_rating_count,num__log_review_length,cat__main_category_Accessories&Peripherals,cat__main_category_Cameras&Photography,cat__main_category_ExternalDevices&DataStorage,"cat__main_category_Headphones,Earbuds&Accessories","cat__main_category_Heating,Cooling&AirQuality",cat__main_category_HomeAudio,cat__main_category_HomeStorage&Organization,"cat__main_category_HomeTheater,TV&Video",cat__main_category_Kitchen&HomeAppliances,cat__main_category_Mobiles&Accessories,cat__main_category_NetworkingDevices,cat__main_category_OfficePaperProducts,cat__main_category_Other,cat__main_category_WearableTechnology,shap_value_num__log_discounted_price,shap_value_num__log_actual_price,shap_value_num__discount_percentage,shap_value_num__log_rating_count,shap_value_num__log_review_length,shap_value_cat__main_category_Accessories&Peripherals,shap_value_cat__main_category_Cameras&Photography,shap_value_cat__main_category_ExternalDevices&DataStorage,"shap_value_cat__main_category_Headphones,Earbuds&Accessories","shap_value_cat__main_category_Heating,Cooling&AirQuality",shap_value_cat__main_category_HomeAudio,shap_value_cat__main_category_HomeStorage&Organization,"shap_value_cat__main_category_HomeTheater,TV&Video",shap_value_cat__main_category_Kitchen&HomeAppliances,shap_value_cat__main_category_Mobiles&Accessories,shap_value_cat__main_category_NetworkingDevices,shap_value_cat__main_category_OfficePaperProducts,shap_value_cat__main_category_Other,shap_value_cat__main_category_WearableTechnology
B08JD36C6H,5.857933154483459,6.111467339502679,22.0,9.833976689772,6.71295620067707,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004446213474147953,-0.024230332643637668,0.0397137800953351,0.03402353871002561,-0.015492747710668482,-0.007673791751149111,0.0,0.014886756545311073,0.021253818087570833,0.0024575969578290824,0.00025221343035809697,0.0007952263369224965,0.0020348275003198068,0.003068494499020744,0.006266601213719696,-0.00017324794316664338,-0.0010988137384993024,-0.0034204204301931896,0.001836115496698767
B08Y5KXR6Z,4.605170185988092,6.68586094706836,88.0,10.12149795173859,5.616771097666572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037013542605418476,-0.006699650677328464,-0.16510485972772584,0.01612957339224522,-0.07078382554427662,-0.0028670867565961087,0.0,-0.00033370291494065895,0.01886963104479946,0.001357860368443653,0.00012073041056282818,0.0006580088404007256,0.00021316356491297484,0.015482234574010363,-0.00015491626661969348,-0.0001462888449896127,-0.0007209533533023204,-0.001997782230610028,0.001403620659839362
B08Y5QJXSR,8.180320874773685,8.55468163582723,31.0,10.262210398092162,6.028278520230698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005178738802787848,-0.01541027497703908,0.03863167418574449,0.08544883709895658,-0.013589371627313085,-0.008824388257344253,0.0,-0.0010295364126795903,0.018519941730919528,-0.003654574644024251,7.833333918824792e-05,0.0007970544480485842,-6.085663015255704e-05,0.008423388935771072,0.005883502576034516,-0.0003062387800309807,-0.0008583348503452726,-0.0024144403389072975,0.0018033057491993532
B09VGKFM7Y,5.393627546352362,6.214608098422191,56.0,2.70805020110221,4.8283137373023015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0024157395516522227,-0.0075800886559591165,0.005888642775389598,-0.05840709192212671,0.03980184643922257,-0.013168912224500673,0.0,-0.000660679993161466,0.012913913968659471,0.004126617480214918,8.616634178906679e-05,0.0008780326758278534,0.0026889056951040404,0.0016661904414650053,0.012644123722566292,-0.00011583732033614069,-0.0010750828991876915,-0.0015887643021414988,0.0010758717761200386
B00TI8E7BI,7.899524472032198,7.899524472032198,0.0,7.831617276352611,7.347299700743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018794828036479885,0.03907414692614111,0.08578814969703671,0.016934927880647592,0.04369025292340666,-0.0074948540958575905,0.0,-0.0003122197446646169,0.020004803036572413,0.003210944571183063,0.00018409240437904372,0.0005755615280941129,0.00225417609399301,-0.014550708744645818,0.003735818893328542,-0.00019495580054353922,-0.0008794176182709635,-0.0005235777489724569,0.0012802248941443395
B01N6IJG0F,6.327936783729195,6.918695219020472,45.0,9.759963542450086,5.937536205082426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0059068501960427965,0.0035118315817089752,0.02412584956327919,0.008158703319932101,-0.02896645015644026,-0.011922631473280489,0.0,-0.0005244609332294203,0.017711863855074627,0.0017842768455739134,0.00022575771348783746,0.001114369596762117,-0.001436904210713692,-0.026184009780845372,0.003694859063689364,-0.00020841278426814825,-0.001218172080552904,-0.0033015039726160466,0.0016209155788237694
B09X76VL5L,7.377758908227872,8.157943507105037,54.0,6.517671272912275,6.941190055068375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018018661843962037,-0.008761917400843231,-0.025393570490123238,-0.023678189227648545,-0.021772976553911576,-0.031323784731794146,0.0,-0.00040022860033786853,-0.07748855709578492,0.001723885768733453,3.8883346715010706e-05,0.00040527478093281387,0.004304485145694343,0.0011029864520241972,-0.0014900836785091088,-0.00013975548034068198,-0.0008414365096541587,-0.0019844249458401465,0.0006744133221218363
B07TCN5VR9,5.799092654460526,6.907755278982137,67.0,11.251924271099778,7.872073979866873,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010558452883997234,0.006401959137583617,-0.0326429976063082,0.023478086222312414,0.006810950867657084,-0.007319144677458098,0.0,-0.0002920526990783401,-0.25092534575553144,0.0010422589475638233,0.00016165437176823616,0.00041973424187744966,0.000673568492202321,0.002806160915934015,0.002957661496620858,-0.00017854057194199413,-0.000630329409323167,-0.0014709430681250524,0.0010599694281700066
B075S9FVRY,8.610865667278873,8.881975184248867,24.0,7.25063551189868,6.4692503167957724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04197674997602007,0.01832743139413651,0.10848064591395086,0.047275604215392376,0.02622811149834888,-0.0033768195641459896,0.0,-0.0005906451841292437,0.014995299204310869,0.002728169365727808,6.368187896441669e-05,0.0007228792624664492,0.0016338574135443195,-0.006045525328081567,0.00565740882710088,-0.00018195455195382237,-0.0006392434710869566,-0.0009939367877086624,0.0011170688034326305
B08GSQXLJ2,8.732304571033183,9.249657234353132,40.0,9.574427775630369,7.470224135899966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005538438380463049,-0.00743524052464636,0.007181287856365088,-0.004620242188248085,0.012019954085262725,-0.004652466913685202,0.0,-0.0006922074654721655,0.019842185179004445,-0.015397109358600574,9.274369338527322e-05,0.0005809339822735638,0.0005079634395951871,0.0025744144797499756,0.003331130724254763,-0.00043834474810864775,-0.0007472940589650535,-0.0005723862511513289,0.0007984907797072083
